Name,file,start_date,end_date,avg_return,volatility,skewness,kurtosis,mdd,sharpe,n_obs,regime_id,regime_name
EQIX,EQIX_data.csv,42738,43098,0.2357062030743656,0.1701549674740218,-0.4994178328473372,7.712238205093554,0.1028439287597875,1.385244325061223,250,2,High-Alpha
EQR,EQR_data.csv,42738,43098,0.002215385507139742,0.1230795206522474,0.1830664593023544,3.751025196581926,0.09918999573681975,0.01799962735798395,250,1,Stable
EQT,EQT_data.csv,42738,43098,-0.1192760981287121,0.3723504019986948,0.4558688810894125,21.75358022271524,0.2282113574248406,-0.3203329377072358,250,1,Stable
ES,ES_data.csv,42738,43098,0.1382987304855918,0.1141246515708603,-0.3287917255962784,3.351052302240619,0.06083294337856804,1.211821710576893,250,2,High-Alpha
ESRX,ESRX_data.csv,42738,43098,0.07337200653854088,0.2400663963988713,-1.49328810849963,16.62246124279175,0.2234827774740294,0.3056321402710314,250,1,Stable
ESS,ESS_data.csv,42738,43098,0.05193005805987038,0.1407303542271095,-0.1662242845307133,4.053626002723196,0.1181187126470915,0.3690039604111711,250,1,Stable
ETFC,ETFC_data.csv,42738,43098,0.3445058826361372,0.2388232579298274,-1.395793237400164,11.70131491234604,0.1319571465900183,1.442513956230185,250,2,High-Alpha
ETN,ETN_data.csv,42738,43098,0.1434412437060039,0.1596881865529719,-0.5072923546017118,6.02565010220578,0.126163007071083,0.8982583295754405,250,2,High-Alpha
ETR,ETR_data.csv,42738,43098,0.1104921517980814,0.134800114350373,-0.111091655248603,4.532113777414585,0.08602150537634401,0.8196740212763456,250,2,High-Alpha
EVHC,EVHC_data.csv,42738,43098,-0.6101891214251409,0.5379299001553846,-7.241143486630016,92.24102674041858,0.6579746136865343,-1.134328322796119,250,0,Downtrend
EW,EW_data.csv,42738,43098,0.1668063585985726,0.24266144196398,-0.645238581291535,20.60909167248859,0.1562213899292552,0.6874036404322235,250,1,Stable
EXC,EXC_data.csv,42738,43098,0.1141637009924046,0.1557707487456984,-0.08221285107399763,7.610080269884544,0.09897794513179126,0.7328956297101781,250,2,High-Alpha
EXPD,EXPD_data.csv,42738,43098,0.1990091394224642,0.1711221197238845,0.9269406414327701,15.71193464889223,0.08813263525305404,1.162965604584475,250,2,High-Alpha
EXPE,EXPE_data.csv,42738,43098,0.06365871884845152,0.2657368454346557,-4.697865129589276,48.46914362845563,0.2644514106583072,0.2395554848418832,250,0,Downtrend
EXR,EXR_data.csv,42738,43098,0.127625540816073,0.1956178061716146,-0.3580577670929835,4.469139364311915,0.1115099009900989,0.6524229226050502,250,1,Stable
F,F_data.csv,42738,43098,-0.008038320110120959,0.1768248907784341,-0.2056107849578848,5.862067828476881,0.1981776765375853,-0.0454592115099518,250,1,Stable
FAST,FAST_data.csv,42738,43098,0.1538184530780431,0.2321250696888443,-0.7899126909741274,8.838346126198676,0.2345844504021448,0.662653341512106,250,1,Stable
FB,FB_data.csv,42738,43098,0.4154145253450082,0.1700600439480103,-0.5499586022678224,5.880285811683614,0.06315904496530622,2.442752075684552,250,2,High-Alpha
FBHS,FBHS_data.csv,42738,43098,0.2409246172152156,0.143050709606452,0.07530572939573014,3.199187825410305,0.07964338781575042,1.684190297818342,250,2,High-Alpha
FCX,FCX_data.csv,42738,43098,0.3216661370912957,0.3951124855516155,0.700247275903437,6.518738634542411,0.3413631022326674,0.8141128130694691,250,1,Stable
FDX,FDX_data.csv,42738,43098,0.2870524736255353,0.1706269042441465,-0.07891604531041367,4.650722466715528,0.07080251985757324,1.682340044186689,250,2,High-Alpha
FE,FE_data.csv,42738,43098,-0.01080536577227602,0.1618710071212259,0.134593288499475,4.150970192779069,0.1349500713266761,-0.0667529409030231,250,1,Stable
FFIV,FFIV_data.csv,42738,43098,-0.09926600144316536,0.2248010866246731,-2.180444748684446,13.93402633890803,0.2233349015390819,-0.441572605068851,250,1,Stable
